File Name,MD5 Signature,Compressed Size (bytes),Size (bytes)
BuiltInPlugins.zip,5417c68af222cd815366ab1655bb6bc3,3676580,4453979
BuiltInStandalonePlugins.zip,0250600f14a570abdd8b97eebdec7413,692257,839795
Plugins.zip,a21e03dff91ede3102ff4186fd4b6c44,694396,1479168
Qml.zip,ae16d3bf2dac1345fedded48047f378f,1587037,4422016
RobloxStudio.zip,7ccdcde51db26edf7713f0e185659ac5,22025837,50188474
Libraries.zip,142cc8d33fc1ac659ddf266d769b489a,9176818,23426624
LibrariesQt5.zip,5203eedb97fadc4c17cb47991eca3d68,31755327,79163904
content-avatar.zip,e1c93570cb8d55f0b968a67d608d7e6e,200229,944054
content-configs.zip,193c1443db8a008c4929514e4ca2a500,12521,39658
content-fonts.zip,09934b94622083e2c902b9a98e703315,2523034,5221122
content-luapackages.zip,3ab64842960895548bac453b6c5cd685,2651382,5049329
content-models.zip,21d53ace7cf0d7b53fdee7945f8216f4,168412,702340
content-translations.zip,e46e8e97f17fe610a58f68e61582e3cc,93362,358613
content-qt_translations.zip,eb409ebd5991ebcd5b23b71c7ca7afd1,549672,1829338
content-scripts.zip,e64df1c5614910622161fd8eb9809b71,1337679,4356707
content-sky.zip,3212e900cc6a657d090d62ffa7297081,30344,38350
content-sounds.zip,c6e058210724bd746b7ae9b0c43a4cac,351545,375510
shaders.zip,21da14b0ad1ff52097c20c9168805508,1350821,10297402
ssl.zip,a1d4a947ce63045d9595b8349cb09c12,126798,222997
content-textures2.zip,adcdaf733c1a87a6e3d684bfef646f6f,16320656,17247654
content-textures3.zip,1e370ef927f3555bce43cc359083c325,35438807,56418020
content-terrain.zip,6f2d1a058954e5e570e3608c7d67f532,43952812,63624209
content-platform-fonts.zip,00b01849ef94f80c58907832d1a145c7,13681295,16427228
redist.zip,1b4efa233a27aa865cef90e179a0b87c,2014690,4842240
